"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
253,1,38696.50275,74831.77339,220.36445,139.85565,6.20253,0.46594,29.98183
254,1,38884.24036,34581.67932,173.21177,269.94026,9.05147,1.15293,18.0455
255,1,38932.12398,79208.44877,238.08344,83.83656,5.0029,0.23729,40.24115
256,1,39059.21628,28381.44793,143.00081,572.57003,8.98586,1.32075,9.67466
257,1,39149.18078,72612.95998,212.9611,282.19701,9.05644,1.79606,25.32711
258,1,39448.51751,4109.64286,147.73402,392.94107,5.06099,0.78809,11.68105
259,1,39611.50256,49977.07583,182.58492,342.55024,8.94978,0.74171,15.64581
260,1,39751.11896,74089.20371,215.41277,114.68813,6.75536,0.51214,33.18882
261,1,39943.26487,33862.12113,146.91821,812.82761,10.74071,2.53166,9.02726
262,1,39850.19544,45087.78777,146.97369,303.37463,7.83223,0.76193,13.33919
263,1,40108.48211,32122.23841,160.83184,1109.64474,10.88981,4.4364,9.58464
264,1,40267.99318,5863.60377,149.04779,170.64587,4.6867,0.33526,17.35472
265,1,40309.56803,29270.79973,140.32804,425.94892,9.33782,0.75466,10.57187
266,1,40267.11192,54913.73272,179.666,203.26975,8.59036,0.63768,20.21511
267,1,40443.52986,13193.39061,153.70963,237.66032,5.56735,0.61419,15.65283
268,1,40475.08282,15855.32915,143.10043,616.57051,8.05809,1.7177,9.62399
269,1,40587.45223,20271.17742,164.55075,294.33967,6.4826,0.82794,15.42198
270,1,40570.2092,51440.07713,152.73276,331.27448,7.87684,0.57483,12.93009
271,1,40706.39269,14794.4859,139.46562,423.96289,7.69871,1.02408,10.82292
272,1,40710.26953,46026.08466,178.34943,312.80637,9.37526,0.64224,15.80899
273,1,40641.84717,53966.51973,152.52397,421.99679,9.85186,0.85501,11.69964
274,1,40989.87386,27178.66487,256.43189,977.26248,7.57758,8.44345,29.82914
275,1,41030.19358,44989.30656,146.57905,288.82009,8.62664,1.02391,14.14494
276,1,41106.7415,58826.38548,201.64447,139.37034,7.66437,0.87181,30.31165
277,1,41013.24243,60923.14442,155.13439,412.15641,8.24862,0.64965,11.7893
278,1,41178.4161,59723.7912,185.93752,208.24746,8.50644,0.59778,20.53901
279,1,41369.59095,25705.80608,139.43301,312.91738,7.87586,0.76371,12.42239
280,1,41401.95319,62236.90071,200.90613,137.21937,6.98574,0.35744,26.64346
281,1,41650.7571,4732.58545,145.68555,112.74927,4.24103,0.2713,20.86343
282,1,41700.68265,29172.87987,150.9907,178.07392,9.46349,1.12328,19.68201
283,1,41813.8086,66925.59381,187.57628,150.07939,7.40319,0.65957,25.30309
284,1,41932.65741,27644.50458,174.1563,356.92289,10.1877,1.61918,16.47124
285,1,41982.38127,42279.7001,145.91017,415.35614,7.44464,0.79347,11.19696
286,1,42198.17377,53353.24689,153.45124,230.55149,8.81107,0.7985,16.33881
287,1,42345.74385,25009.26802,138.19516,322.26893,7.52036,0.74972,12.09397
288,1,42345.52019,29993.5603,158.37805,298.42559,9.06036,0.88144,14.80037
289,1,42364.70229,40554.24783,143.67625,342.29621,7.29955,0.72196,12.14254
290,1,42858.64096,66361.22206,207.71347,316.70291,8.51031,0.88437,19.28575
291,1,42902.77383,11530.05509,136.02312,313.57271,5.69922,0.75137,12.0798
292,1,42912.66846,31777.60729,159.38158,338.9244,7.81169,0.66697,13.49749
293,1,42921.54837,58106.25507,181.20884,199.83711,9.62038,1.00753,22.15717
294,1,43130.87489,39571.12805,171.12077,317.50485,8.59796,0.72363,15.18672
295,1,43173.43332,58993.24355,151.9306,273.21142,8.93576,1.32348,15.84631
296,1,43197.17276,53309.29222,154.01077,571.815,10.40733,1.1,10.25612
297,1,43203.93692,54635.58715,201.56436,544.63571,11.38785,1.02452,13.96852
298,1,43500.24857,22631.13035,156.21078,246.52828,6.2751,0.88113,16.24185
299,1,43783.57136,9024.433,148.68058,368.82942,5.77999,0.79549,12.18124
300,1,43888.52101,66766.57525,243.52861,296.56748,8.21478,4.76784,50.50352
301,1,44089.03291,12908.74385,150.83217,170.07163,4.97386,0.36019,17.66605
302,1,44259.31623,1171.42391,147.49244,77.64636,3.46533,0.24816,25.59121
303,1,44390.06917,39116.37724,172.41791,174.80529,7.24839,0.50257,20.49538
304,1,44295.58367,66854.54696,210.52186,315.27767,7.24525,3.6289,31.64191
305,1,44638.69991,8829.38691,143.88208,183.68876,5.48141,0.75453,17.21059
306,1,44783.29595,55847.06022,197.71323,184.22735,8.13923,0.54705,23.26319
307,1,45235.33567,63216.25748,178.83723,387.72647,7.83731,1.50882,15.90193
308,1,45148.46135,74935.58525,215.24372,62.03458,4.80918,0.24332,42.69246
309,1,45341.68991,52312.77957,178.89989,387.10513,8.20002,0.76824,14.361
310,1,45540.82372,15359.26146,135.60829,243.53722,5.58812,0.62306,13.59569
311,1,45566.2193,46488.24767,181.90924,161.28231,6.05288,0.36417,22.03233
312,1,45499.90673,78205.6557,219.98569,108.92142,5.02772,0.31003,32.85498
313,1,45962.56807,49222.66104,174.88972,167.2773,6.24931,0.33055,20.60954
314,1,45918.87103,70727.4023,217.61662,415.56785,8.1666,0.93218,17.51484
315,1,46139.75508,26371.56149,157.63017,131.56525,5.77799,0.40822,21.38542
316,1,46211.05987,56057.87721,154.63833,322.02336,7.45388,0.41192,13.03385
317,1,46544.50494,81298.76174,220.85236,89.11595,4.97587,0.39252,37.92523
318,1,46868.10434,17742.57474,139.08631,355.15106,5.70661,0.84366,11.6692
319,1,46879.39871,38313.17078,192.94952,201.51525,6.78723,1.16173,24.50137
320,1,47021.5599,29571.7115,168.16848,198.3738,6.10835,0.51808,18.68315
321,1,47246.30105,31589.30849,347.77245,679.89152,5.54221,5.98864,53.6894
322,1,46896.57502,54589.13138,191.29299,147.15594,6.94789,0.36957,24.42772
323,1,47246.76609,60031.92304,197.95849,222.35608,7.17699,0.41912,20.46435
324,1,47442.20383,13799.94503,151.31267,223.10164,5.34694,0.50118,15.67398
325,1,47297.5487,31649.79147,278.12255,521.18636,5.81522,6.02679,46.18459
326,1,47426.58749,71905.4473,209.89011,139.36831,6.69265,0.34804,27.60747
327,1,47679.5557,3262.76027,145.85334,219.20393,4.88158,0.85826,16.0672
328,1,48040.23254,910.17597,141.57547,120.42065,4.19188,0.45198,20.25705
329,1,48115.33148,26475.52249,138.79688,383.61429,6.49794,0.8186,11.13506
330,1,48201.81231,7427.29661,147.34767,133.7213,3.92665,0.24673,19.21057
331,1,48225.82272,76823.32958,165.13211,165.32437,4.92189,0.24517,19.26353
332,1,48477.50085,71843.68393,208.55357,100.13178,5.97248,0.39156,33.32493
333,1,49022.54507,602.32138,140.78983,144.27754,4.46112,0.55374,18.59234
