"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
95,1,15282.57957,9124.31318,145.74693,625.41465,9.76275,1.81216,9.82244
96,1,15309.01773,49731.72429,165.68118,285.59395,11.04748,0.84762,15.84743
97,1,15264.64091,52030.94719,167.0128,255.43548,11.82281,0.48893,16.10205
98,1,15378.76878,18114.53721,135.75447,322.15346,10.33845,1.14639,12.43425
99,1,15376.3262,80517.32745,157.12623,675.543,11.5496,1.514,9.92497
100,1,15739.00985,8297.12056,139.7403,170.25206,8.22616,1.51511,19.80005
101,1,15737.64018,77571.19412,182.11128,106.66055,9.17672,0.47245,28.39788
102,1,16053.92001,16030.01298,148.8802,721.02064,11.72873,2.0452,9.44711
103,1,16077.51422,31588.34583,157.92542,270.36656,8.89928,0.77572,15.3595
104,1,16263.77653,12206.57565,148.54519,482.10315,9.35109,1.28498,11.06284
105,1,16394.54603,37152.89104,141.1987,365.6328,8.80593,0.83768,11.6576
106,1,16588.11145,41055.26007,171.32874,521.11288,11.05017,1.15972,12.18629
107,1,16653.82004,56601.27311,148.95837,450.00814,14.64274,3.06325,14.03391
108,1,16911.6251,62019.30285,179.99119,339.33311,10.98274,0.81316,15.6517
109,1,17011.7324,69233.88308,156.09315,568.33191,12.50008,1.46825,10.83017
110,1,17106.35006,77885.35222,232.22029,361.96276,10.2271,1.44764,22.50118
111,1,17363.19407,20547.821,181.62076,836.47773,10.83095,6.13925,15.90012
112,1,17293.59093,55714.58955,182.69924,903.81955,19.70736,2.06346,10.4396
113,1,17442.06943,17333.02071,145.64032,263.66365,9.77431,0.4994,13.78606
114,1,17508.96477,23620.8742,137.95834,326.90769,8.77531,1.07458,12.43897
115,1,17576.41767,26366.14558,145.00124,246.23613,8.50119,0.8326,14.90113
116,1,17675.42542,58965.91278,184.46952,358.26438,13.61273,0.92296,15.84649
117,1,17918.53335,5953.38318,143.46329,169.00043,6.16402,0.55433,17.38796
118,1,18387.00066,13331.93867,140.28403,367.86747,10.55535,1.73191,12.77644
119,1,18341.5273,69727.604,191.72035,159.47996,12.76593,0.48203,24.03567
120,1,18388.63722,72086.555,195.75421,988.12004,17.4604,2.47399,11.15251
121,1,18428.15712,47122.34391,150.49386,876.82459,13.02835,2.23047,8.65342
122,1,18662.76253,72985.02749,168.50987,314.89863,14.95638,3.24153,21.62925
123,1,18820.55576,27001.10478,156.05262,376.25909,9.91759,0.90355,12.83811
124,1,18804.05186,53872.5256,184.248,379.85287,13.53004,1.15604,15.83433
125,1,18934.42747,11639.06746,139.74573,284.78226,8.23422,0.88179,13.30409
126,1,18984.66346,55551.73932,176.11072,592.88201,20.64941,8.79102,25.2219
127,1,18931.041,60408.60205,189.55871,356.3724,13.73489,0.94033,16.42155
128,1,19078.49778,2471.94779,136.76517,665.19852,16.24204,10.04175,16.74352
129,1,19359.67784,17665.24316,138.87374,457.61951,9.99641,1.63435,10.98471
130,1,19510.4823,69418.02254,184.95102,257.18394,12.84437,1.06389,19.71875
131,1,19699.33598,13801.07395,258.18614,1070.32808,7.37957,12.19954,37.41791
132,1,19821.86191,45066.63004,162.55779,385.06932,10.61793,0.79025,13.05133
133,1,19921.27175,29651.8263,158.18659,297.86959,9.32987,0.5862,14.21125
134,1,20240.70881,3410.89768,139.3826,257.56964,10.43816,3.06586,18.87711
135,1,20311.69135,79809.40275,201.6597,97.00289,7.9703,0.31897,31.99038
136,1,20337.99924,14653.4812,126.92481,371.22443,14.66523,7.0284,19.18363
137,1,20342.72976,66889.5874,151.81375,482.91142,11.51507,1.09977,11.09528
138,1,20326.30846,73845.58346,166.59355,1172.14151,16.53586,3.0915,8.73029
139,1,20622.69525,49791.79967,168.05139,434.40325,10.59252,0.92975,12.86559
140,1,20485.36703,69990.11655,189.6245,283.16603,14.37955,0.91201,18.66543
141,1,20655.35297,7431.71171,137.95332,239.91196,6.91886,0.66188,14.01964
142,1,20777.9147,69023.73491,151.27596,344.90601,13.69654,1.58758,14.21693
143,1,20887.32315,5141.24895,145.44147,195.03702,7.18457,0.95321,17.3812
144,1,20838.35644,55732.39922,169.9328,279.50892,13.99254,0.62837,15.94491
145,1,21255.55374,61154.89779,178.68725,199.92162,12.35012,0.68322,20.46155
146,1,21872.22482,15846.39256,138.47564,298.61415,8.12992,0.66179,12.50096
147,1,21827.04476,42488.56791,174.37725,322.96394,10.61681,0.71702,15.33422
148,1,22116.28545,56615.16701,156.32463,856.59474,15.8859,2.13827,9.0862
149,1,22110.00282,71198.82673,197.9458,232.14816,11.42546,0.63558,20.83712
150,1,22522.33526,59807.53587,180.99457,1855.5786,25.79487,9.08334,10.58395
151,1,22648.48173,22780.39823,159.61673,1429.33717,16.09611,6.76513,9.34248
152,1,22695.87454,26011.46095,150.82021,868.02691,12.9146,2.5427,8.94828
153,1,22573.94537,79489.15471,194.23533,101.10571,8.24706,0.4712,31.40051
154,1,22756.88743,33984.00496,138.77149,526.163,10.68786,1.42616,9.92443
155,1,22848.86328,74710.47754,198.82872,196.50179,10.19569,0.53064,22.4989
156,1,23164.69882,27167.19898,150.91092,275.17844,11.43075,0.7699,14.4848
157,1,23158.6256,80481.31887,159.58046,306.45051,8.60244,0.69177,14.3233
158,1,23352.31524,21180.77838,150.31588,329.16615,10.41875,1.22062,13.84021
159,1,23451.84746,59604.11744,181.03365,683.8388,26.48237,9.55737,24.8074
160,1,23584.86039,53302.64761,144.67422,516.6272,12.82098,1.37917,10.43842
161,1,23913.34234,7201.98559,142.82363,230.78577,6.97237,0.6332,14.78079
162,1,24311.83271,41989.05708,164.23314,302.52172,10.20766,0.75093,14.99062
163,1,24418.0402,54165.54945,177.61496,205.02684,13.69566,0.65693,19.94163
164,1,24668.78719,59078.94172,187.46048,380.03397,15.80886,1.54597,17.10805
165,1,24946.61084,13457.16398,140.2658,321.93737,8.25031,1.35939,13.22231
166,1,24905.93958,78858.00531,206.87022,99.9571,7.60343,0.30451,32.19571
167,1,25086.33431,40551.39945,172.19303,528.66089,12.06693,1.22058,12.23876
